,date
4.1.2,"November, 2021"
4.1.1,"August, 2021"
4.1.0,"May, 2021"
4.0.5,"March, 2021"
4.0.4,"February, 2021"
4.0.3,"October, 2020"
4.0.2,"June, 2020"
4.0.1,"June, 2020"
4.0.0,"April, 2020"
3.6.3,"February, 2020"
3.6.2,"December, 2019"
3.6.1,"July, 2019"
3.6.0,"April, 2019"
3.5.3,"March, 2019"
3.5.2,"December, 2018"
3.5.1,"July, 2018"
3.5.0,"April, 2018"
3.4.4,"March, 2018"
3.4.3,"November, 2017"
3.4.2,"September, 2017"
3.4.1,"June, 2017"
3.4.0,"April, 2017"
3.3.3,"March, 2017"
3.3.2,"October, 2016"
3.3.1,"June, 2016"
3.3.0,"April, 2016"
3.2.5,"April, 2016"
3.2.4,"March, 2016"
3.2.3,"December, 2015"
3.2.2,"August, 2015"
3.2.1,"June, 2015"
3.2.0,"April, 2015"
3.1.3,"March, 2015"
3.1.2,"October, 2014"
3.1.1,"July, 2014"
3.1.0,"April, 2014"
3.0.3,"March, 2014"
3.0.2,"September, 2013"
3.0.1,"May, 2013"
3.0.0,"April, 2013"
2.15.3,"March, 2013"
2.15.2,"October, 2012"
2.15.1,"June, 2012"
2.15.0,"March, 2012"
2.14.2,"February, 2012"
2.14.1,"December, 2011"
2.14.0,"November, 2011"
2.13.2,"September, 2011"
2.13.1,"July, 2011"
2.13.0,"April, 2011"
2.12.2,"February, 2011"
2.12.1,"December, 2010"
2.12.0,"October, 2010"
2.11.1,"May, 2010"
2.11.0,"April, 2010"
2.10.1,"December, 2009"
2.10.0,"October, 2009"
2.9.2,"August, 2009"
2.9.1,"June, 2009"
2.9.0,"April, 2009"
2.8.1,"December, 2008"
2.8.0,"October, 2008"
2.7.2,"August, 2008"
2.7.1,"June, 2008"
2.7.0,"April, 2008"
2.6.2,"February, 2008"
2.6.1,"November, 2007"
2.6.0,"October, 2007"
2.5.1,"July, 2007"
2.5.0,"April, 2007"
2.4.1,"December, 2006"
2.4.0,"October, 2006"
2.3.1,"June, 2006"
2.3.0,"April, 2006"
2.2.1,"December, 2005"
2.2.0,"October, 2005"
2.1.1,"June, 2005"
2.1.0,"April, 2005"
2.0.1,"November, 2004"
2.0.0,"October, 2004"
1.9.1,"June, 2004"
1.8.1,"November, 2003"
1.7.1,"June, 2003"
1.6.2,"January, 2003"
1.5.1,"June, 2002"
1.4.1,"January, 2002"
1.3.1,"September, 2001"
1.2.2,"March, 2001"
1.0.0,"February, 2000"
